,High,Low,Open,Close,Volume,Adj Close
2005-10-18,14649.70996,14563.51953,14585.84961,14597.40039,281016800,14597.40039
2005-10-19,14463.07031,14345.87012,14434.73047,14372.75977,439359200,14372.75977
2005-10-20,14524.66016,14398.96973,14477.54004,14408.94043,357183200,14408.94043
2005-10-21,14491.94043,14308.61035,14364.67969,14487.84961,507689800,14487.84961
2005-10-24,14505.55957,14321.61035,14470.66992,14402.34961,290231200,14402.34961
2005-10-25,14566.09961,14422.40039,14566.0498,14424.87988,319840600,14424.87988
2005-10-26,14474.16016,14361.75977,14446.96973,14458.13965,394435000,14458.13965
2005-10-27,14484.32031,14376.86035,14475.66016,14381.05957,270958200,14381.05957
2005-10-28,14295.88965,14189.46973,14282.08984,14215.83008,382679000,14215.83008
2005-10-31,14393.28027,14255.92969,14313.41992,14386.37012,268522400,14386.37012
2005-11-01,14591.41992,14470.58008,14485.34961,14572.25977,395000600,14572.25977
2005-11-02,14604.5,14544.65039,14583.08984,14597.48047,270334600,14597.48047
2005-11-03,14649.86035,14546.87988,14626.61035,14601.58984,264688800,14601.58984
2005-11-04,14668.53027,14536.28027,14660.33984,14585.79004,254565600,14585.79004
2005-11-07,14503.46973,14353.90039,14498.83984,14365.79004,310755600,14365.79004
2005-11-08,14435.24023,14317.50977,14420.5498,14403.2002,259478400,14403.2002
2005-11-09,14626.59961,14417.46973,14440.61035,14597.5498,329370000,14597.5498
2005-11-10,14642.84961,14567.5498,14586.00977,14633.33008,251755600,14633.33008
2005-11-11,14808.46973,14655.73047,14668.23047,14740.59961,322659000,14740.59961
2005-11-14,14772.92969,14541.99023,14760.40039,14629.49023,273048000,14629.49023
2005-11-15,14671.01953,14518.75,14573.51953,14627.41016,254867800,14627.41016
2005-11-16,14683.99023,14603.7002,14632.40039,14650.54004,217729000,14650.54004
2005-11-17,14788.62012,14620.41992,14672.7998,14787.98047,331421400,14787.98047
2005-11-18,14924.62012,14865.80957,14915,14883.32031,381015600,14883.32031
2005-11-21,14942.07031,14843.87012,14939.7002,14885.57031,242625000,14885.57031
2005-11-22,14897.7998,14806.95996,14881.91992,14885.65039,197108000,14885.65039
2005-11-23,15071.23047,14925.71973,14961.92969,15062.34961,393797800,15062.34961
2005-11-24,15117.87988,15042.2998,15111.03027,15084.38965,262069400,15084.38965
2005-11-25,15100.94043,15027.75977,15053.91992,15081.46973,231676200,15081.46973
2005-11-28,15133.87988,15073.5498,15099.62988,15100,183583400,15100
2005-11-29,15062.01953,14958.78027,15058.99023,15028.75977,226451800,15028.75977
2005-11-30,15072.83984,14936.90039,15028.74023,14937.13965,304252400,14937.13965
2005-12-01,15068.03027,14866.09961,14881.21973,15068.03027,412240200,15068.03027
2005-12-02,15232.32031,15129.29004,15178.09961,15200.37988,377939200,15200.37988
2005-12-05,15208.86035,15145.15039,15208.86035,15158.82031,222779400,15158.82031
2005-12-06,15161.87988,14967.78027,15156.83984,14990.61035,376164400,14990.61035
2005-12-07,15134.9502,14960.21973,15026.91992,15134.9502,335154000,15134.9502
2005-12-08,15095.17969,14860.54004,15095.17969,14879.16016,348480000,14879.16016
